decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,occurrenceStatus,eventRemarks,eventTime,eventID,samplingEffort,samplingProtocol,basisOfRecord,recordedBy,recordedByID,eventType
-35.09,150.8,2010-03-29T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,142da39b-6181-4ce4-a2c9-5122747e2663,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001525,NA,NA,HUMAN_OBSERVATION,Jjo,NA,NA
-35.0881,138.475,2001-05-20T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c827258e-6402-43af-895b-295629c0d70c,South Australian Museum Adelaide provider for OZCAM,PRESENT,NA,NA,urn:emu.sam.sa.gov.au:Event:193451,NA,NA,MATERIAL_SAMPLE,NA,NA,NA
-35.084894,137.74991,NA,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c6926526-4f1f-4f2d-b391-21814a4fb2bc,South Australian Museum Adelaide provider for OZCAM,PRESENT,NA,NA,urn:emu.sam.sa.gov.au:Event:51214,NA,NA,PRESERVED_SPECIMEN,"Gowlett-Holmes, K.L.",NA,NA
-35.084799,137.750003,2019-10-08T01:03:52Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c96c1998-c85d-4935-b9d0-b2be0ceb6fa1,Feral or in Peril,ABSENT,NA,16:39:00,1e27e49f-35cc-42a4-97a5-40e3e23a03c7,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.084762,137.749123,2019-10-08T01:04:07Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,a6d6de56-1c5c-4533-b210-e6c908c091b9,Feral or in Peril,ABSENT,NA,10:00:00,528e3f66-a9cf-4e3e-90aa-c804a2408749,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.084746,137.750247,2019-10-08T01:04:01Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,d8b96294-147c-49bd-8ed1-a044b8ded2c8,Feral or in Peril,ABSENT,NA,10:15:00,78e8fe85-8af6-4e3e-bab5-dcb85f00a3ff,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.08452,137.749971,2019-10-08T01:04:09Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,07589c7b-85a0-4887-b3a4-06ff403ba748,Feral or in Peril,ABSENT,NA,12:15:00,bcc9d928-2710-4ff4-b62f-fdc3a5a1cc4c,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.083,137.75,2019-10-08T01:02:44Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,06624b2b-1d07-42c9-b652-5e14eb20b84b,Feral or in Peril,ABSENT,NA,12:56:00,ff3b0a15-3aea-4b21-8037-a102a21b594e,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.083,137.75,2019-10-08T01:02:46Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c248eeed-271a-4202-934f-73fa9a362370,Feral or in Peril,ABSENT,NA,10:00:00,9ebfd390-d586-41c7-9cc1-4b32ee27d27e,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.08,150.8,2010-03-28T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,9b2d7f61-745b-4ce9-b96b-314615422605,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001513,NA,NA,HUMAN_OBSERVATION,Apm,NA,NA
-35.08,150.79,2009-03-14T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c429d6d7-f326-42d5-b4fb-1fef4bbead3e,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001211,NA,NA,HUMAN_OBSERVATION,Mld,NA,NA
-35.08,137.75,2008-10-04T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,8409b500-01ef-4c76-922a-ca1a04f71f2a,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,5000343,NA,NA,HUMAN_OBSERVATION,Atc,NA,NA
-35.08,150.8,2013-04-07T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,d53b88ae-8d89-4ca9-9111-dc91a05b0f7f,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912343459,NA,NA,HUMAN_OBSERVATION,Ger,NA,NA
-35.08,150.8,2011-04-18T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,3727d568-cbc8-4226-9c67-5c368d37852b,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002714,NA,NA,HUMAN_OBSERVATION,Trd,NA,NA
-35.08,137.75,2008-10-04T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,d9ccf5d1-ee73-4fde-859e-2e4f47df85be,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,5000343,NA,NA,HUMAN_OBSERVATION,Atc,NA,NA
-35.08,150.79,2010-03-28T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,26db7aed-550a-45fa-9e24-7d1559d83edc,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001547,NA,NA,HUMAN_OBSERVATION,Slg,NA,NA
-35.074981,138.494037,2019-10-08T01:03:51Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,fd18c7f1-eeb4-44f7-aa84-558e1db7e5f6,Feral or in Peril,ABSENT,NA,18:19:00,c1709bc8-b916-4849-8a3e-e8fb3c0c85d7,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074866,138.493851,2019-10-08T01:03:22Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2d5b9f3f-61a8-46a5-b665-bff8a93140fc,Feral or in Peril,ABSENT,NA,09:30:00,e8c7ffa1-b6cd-4c4e-9edf-c7161f770e1c,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074845,138.49372,2019-10-08T01:03:55Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4f2772e8-1b1b-47c7-bbec-abde0223fc35,Feral or in Peril,ABSENT,NA,09:45:00,0bf99982-3fb0-4916-a840-897cf2536cf5,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074797,138.494069,2019-10-08T01:02:53Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2f8e3e8f-b360-4746-9d89-7b9d0fbaffa0,Feral or in Peril,ABSENT,NA,10:00:00,fd68827c-30c4-4f6e-9362-5753724226d5,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074726,138.493763,2019-10-08T01:04:16Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,10c15703-557b-459d-947a-89404e0d7bec,Feral or in Peril,ABSENT,NA,10:30:00,0718a43c-d65c-4f5b-8a44-087e162686d2,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074726,138.493763,2019-10-08T01:03:29Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,633ba2cc-ea14-4320-a65b-d4debcccc6e5,Feral or in Peril,ABSENT,NA,11:30:00,f652f123-a829-4265-bebb-1aac1b20f9a4,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074726,138.493763,2019-10-08T01:04:24Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,1ce8fd71-dfc7-4106-8b3d-7564d9e8c384,Feral or in Peril,ABSENT,NA,10:30:00,be89d875-6c9e-4db4-b36a-5ea0bfa05fe9,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074726,138.493763,2019-10-08T01:04:22Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,dc0aa2d4-0eb4-44d9-a328-fb513bec4ba1,Feral or in Peril,ABSENT,NA,10:00:00,c19e2f37-f636-422a-89b4-7b0c55631281,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074693,138.493766,2019-10-08T01:03:35Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,31ece666-5bd6-4d65-8aa8-c09dc599047d,Feral or in Peril,ABSENT,NA,11:15:00,801f521e-6d3b-483d-ac69-903804581710,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074488,138.493883,2019-10-08T01:04:12Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,ddcbd8fa-a8d4-493a-825f-1026e50b2c07,Feral or in Peril,ABSENT,NA,10:00:00,a037ee2c-efd3-4043-9a14-b0c35ef01a3b,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.074384,138.493908,2019-10-08T01:03:13Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,15338c8c-f066-4970-a7e7-c515296a19e2,Feral or in Peril,ABSENT,NA,09:30:00,7a46061e-4550-4d2a-b37d-dc9ff78eecec,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.070345,138.500732,2019-10-08T01:03:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,aec71209-c946-4d0b-890e-a8145db26a09,Feral or in Peril,ABSENT,NA,10:00:00,dd3d7db3-3f3c-4be9-8df6-4b5eb51d6774,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.07015,115.342,2005-11-21T07:08:30Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,b31c421e-abd5-477f-9e43-4b88df2dc971,"CSIRO, Cruise SS200510, Benthic Biodiversity, Western Australia, 2005",PRESENT,NA,NA,SS200510:17,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
