"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-29.641348,115.163212,2024,2024-08-11 13:51:00,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.638893,115.310984,2024,2024-04-01 14:08:37,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.54875,115.079741,2024,2024-09-01 14:43:59,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.380583,124.539486,2024,2024-11-01 16:51:30,"Moloch horridus","946430-99999","BALGAIR",-31.083,125.65,"Rawlinna, City Of Kalgoorlie-Boulder, Western Australia, 6434, Australia","Rawlinna","Western Australia"
-29.371475,127.115386,2024,2024-04-13 15:13:18,"Moloch horridus","956460-99999","FORREST",-30.833,128.117,"Forrest, Terry Way, Forrest, City Of Kalgoorlie-Boulder, Western Australia, Australia","Forrest","Western Australia"
-29.178915,124.558936,2024,2024-08-23 15:13:40,"Moloch horridus","944490-99999","LAVERTON AERO",-28.617,122.417,"Great Central Road, Laverton, Shire Of Laverton, Western Australia, 6440, Australia","Great Central Road","Western Australia"
-29.103716,124.529901,2024,2024-10-30 08:06:16,"Moloch horridus","944490-99999","LAVERTON AERO",-28.617,122.417,"Great Central Road, Laverton, Shire Of Laverton, Western Australia, 6440, Australia","Great Central Road","Western Australia"
-28.592422,115.056717,2024,2024-09-08 14:05:50,"Moloch horridus","944030-99999","GERALDTON",-28.796,114.708,"Geraldton Airport, Geraldton-Mount Magnet Road, Moonyoonooka, Mullewa, City Of Greater Geraldton, Western Australia, Australia","Geraldton Airport","Western Australia"
-28.59242,115.056725,2024,2024-09-08 14:05:42,"Moloch horridus","944030-99999","GERALDTON",-28.796,114.708,"Geraldton Airport, Geraldton-Mount Magnet Road, Moonyoonooka, Mullewa, City Of Greater Geraldton, Western Australia, Australia","Geraldton Airport","Western Australia"
-28.002288,119.15657,2024,2024-12-15 17:13:35,"Moloch horridus","944440-99999","BULGA DOWNS",-28.5,119.75,"Sandstone, Shire Of Sandstone, Western Australia, Australia","Sandstone","Western Australia"
-27.988505,119.19342,2024,2024-12-15 17:12:06,"Moloch horridus","944440-99999","BULGA DOWNS",-28.5,119.75,"Sandstone, Shire Of Sandstone, Western Australia, Australia","Sandstone","Western Australia"
-27.79688,114.132564,2024,2024-09-08 02:37:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.789415,114.416527,2024,2024-02-28 16:38:44,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.789411,114.416528,2024,2024-02-28 16:38:17,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
